No.,Listing,Bedroom,Bathroom,Garage,Carport,Kitchen,Dining Room,Living Room,Maid's Room,Maid's Bathrrom,Bulding Area(m^2),Land Area(m^2),Furnished,Condition,Year Built,Price(millions Rp)
385,Rumah Hook Murah di Perumahan Griya Agung Permai Jakarta Pusat,5,5,2,2,1,1,1,1,1,550,497,No,Need Renov,2015,7250
386,Rumah di Petojo Jakarta Pusat Harga Murah Bisa Untuk Rumah Kost,4,3,1,1,1,1,1,1,1,200,310,No,Old,2015,8500
387,Rumah Mewah di Jl. Petojo Sabangan II Jakarta Pusat,5,5,1,1,1,1,1,1,1,400,371,No,Old,2015,10000
388,RUMAH DIJUAL LELANG DI JL. DANAU TONDANO BENDUNGAN HILIR,4,3,2,2,1,1,1,2,1,400,269,No,Old,2015,11000
389,Rumah Murah Bangunan Lama di Petojo Jakarta Pusat,5,5,2,3,1,1,1,1,1,550,418,No,Old,2015,13500
390,Rumah Luas Tanah 1032m² di Menteng Jakarta Pusat,4,3,1,4,1,1,1,1,1,600,1032,No,Old,2015,60000
391,Di lelang rumah Jl kesehatan VII petojo selatan gambir jakpus,4,2,0,2,1,1,1,3,1,250,310,No,Need Renov,2015,6600
392,Rumah mewah Menteng Jalan teuku Cik Di Tiro jakpus,4,4,2,2,1,1,1,2,2,569,1002,No,Old,2019,40500
393,Rumah klasik jalan Borobudur menteng jakarta pusat,5,5,7,2,2,1,1,2,2,700,1032,No,Old,2015,57500
394,Rumah 2 Lt dijual di cempaka putih,3,3,1,1,1,1,1,1,1,200,261,Semi,Old,2000,5800
395,Rumah Cantik 2 lt di jl. intan kemayoran jakarta pusat,5,4,0,2,1,1,1,1,1,600,549,No,Old,2010,7500
396,Rumah bagus 2 Lt Dijual Di Menteng,5,3,0,3,1,1,1,1,1,350,312,No,Old,2001,19000
397,Rumah Mewah dan Bagus 2 Lt di Menteng,8,7,2,2,2,1,1,2,2,1600,1078,No,Old,2000,47400
398,"Rumah Asri 2 Lantai di Jl. Kramat Baru, Senen, Jakarta Pusat",4,3,1,2,1,1,1,1,1,350,333,Semi,Old,2019,4350
399,"Rumah Mewah Modern di Jl. Cimahi, Jakarta Pusat",6,5,4,2,1,1,1,1,1,810,835,Semi,Old,2018,65000
400,RUMAH MEWAH TERMURAH DI INTAN RAYA KEMAYORAN JAKARTA PUSAT,5,4,1,2,1,1,1,1,1,750,540,No,Old,2007,6500
401,Rumah dijual di jalan danau Tondano bendungan hilir Jakarta pusat,5,4,2,1,1,1,1,1,1,376,269,No,Old,2008,10900
402,RUMAH MEWAH DI KAWASAN PREMIUM GONDANGDIA MENTENG,7,5,2,3,1,1,1,2,1,750,1078,No,Old,2005,49000
403,RUMAH TERMURAH DI JALAN CIK DITIRO JAKARTA PUSAT,8,5,2,6,2,1,1,2,2,800,1005,No,Old,2005,58000
403,RUMAH BAGUS 1 LANTAI STATEGIS,2,2,1,3,1,1,1,0,0,100,150,No,Old,2017,
404,Rumah di Petojo sabangan 2 Lantai Butuh Renovasi Cocok Dijadikan Kost2 an,3,4,0,1,0,0,0,1,0,100,80,No,Need Renov,NULL,2200
405,JUAL MURAH RUMAH DI GUNUNG SAHARI SAWAH BESAR JAKARTA PUSAT,3,2,1,1,1,1,1,1,1,100,422,No,Old,2010,7530
406,"Rumah 1 Lantai di Menteng, Jakarta Pusat",7,3,3,0,1,0,0,0,0,400,595,No,Old,NULL,17500
407,Dijual Cepat Rumah Bagus Sawah Besar Jakarta Pusat Harga Di Bawah Njop,5,4,2,2,2,1,1,1,1,400,1078,No,Old,2005,47000
408,Rumah mewah di Jl petojo sabangan Petojo Jakarta Pusat,4,3,3,1,1,1,1,1,1,450,379,No,Old,2018,9500
409,Rumah mewah dilelang di Jl Cimahi Menteng Jakarta Pusat,5,3,3,3,1,1,1,3,1,350,810,No,Old,2018,50000
410,Rumah Kost Lama Murah Hitung Tanah Income Kost Masih Aktif,5,3,0,1,1,1,1,0,0,114,114,Yes,Need Renov,1980,4000
411,Dijual Cepat Rumah Megah & Nyaman di Joharbaru Jakarta Pusat,7,6,2,1,1,1,1,1,1,390,285,Semi,Old,2003,6600
412,Hunian Nyaman di Penjernihan Tanah abang Jakarta Pusat,8,5,1,1,1,1,1,3,1,650,520,No,Old,1997,16000
413,Rumah Kost Lama 2 Lantai Kokoh Income Masih Aktif Di Benhil,8,3,0,1,1,1,1,0,0,250,160,Yes,Need Renov,1998,7500
414,Rumah kokoh terawat 3 lantai cideng jakarta pusat,7,4,0,3,1,0,0,1,0,273,173,Semi,Old,2000,7000
415,"Rumah 2 Lantai Cocok Untuk Usaha di Penjompongan , Jakarta Pusat",4,5,2,2,1,0,0,3,1,230,400,Semi,Old,2000,21000
416,Rumah mewah 2 Lantai di johar baru dekat dengan pasar johar baru,7,6,2,1,1,1,1,1,1,390,285,Semi,Old,2003,6600
417,"Rumah 2 Lantai Unfurnished SHM di Pejompongan, Jakarta Pusat",4,5,2,2,1,1,1,3,1,230,400,No,Need Renov,2000,18000
418,"Rumah Hgb Dijual Hitung Tanah di Kebon Melati, Jakarta Pusat",5,3,0,1,1,1,1,0,0,300,309,No,Need Renov,1980,21000
419,Rumah tua hitung tanah buat kos-kosan di kawasan Benhil Sudirman,9,4,0,1,1,1,1,0,0,280,330,No,Need Renov,1984,18000
420,Rumah 2Lt Bebas Banjir di Bsd dekat ice Bsd dan Tol,3,3,0,2,1,1,1,0,0,89,72,Semi,New,2023,1360
421,Rumah Murah Mewah dan Modern di Menteng Jakarta Pusat,7,7,7,0,1,0,0,3,0,800,2300,No,Old,2018,85000
422,RUMAH SIAP HUNI TINGGAL PINDAH DALAM CLUSTER 2 CARPORT,3,3,0,2,1,1,1,0,0,100,73,Yes,New,2023,1550
423,RUMAH MEWAH 3 LANTAI LOKASI STRATEGIS DI KAWASAN ELITE JAKARTA,3,3,1,2,2,1,1,0,0,140,60,Semi,New,2023,2650
424,Rumah Mewah Dan Bagus Jl. Teuku Umar Menteng Jakarta PusaT,8,4,4,7,0,0,0,0,0,600,948,Semi,Old,2000,115000
425,Rumah Siap Huni Benhil Jakarta Pusat,2,2,1,2,1,0,1,0,0,400,514,No,Old,2000,20000
426,Rumah Siap Huni Jl.Percetakan Negara Jakarta Pusat,5,4,2,3,1,0,1,0,0,200,198,Semi,Old,2000,4500
427,Rumah Mewah dan Bagus Siap Huni Jl. Maluku Menteng Jakarta Pusat,5,2,0,0,1,0,0,0,0,520,520,Semi,Old,2000,33000
428,Rumah 1 Lantai Dekat taman jalan Sukabumi,5,4,0,4,1,0,0,1,1,400,676,No,Need Renov,2011,37000
429,Rumah impian siap huni 2 Lantai di Sunter,4,3,0,1,1,1,1,1,0,60,60,No,New,2023,1000
430,Rumah Modern Classic dekat Apartemen Arandra,3,3,1,1,1,1,1,0,0,68,45,No,New,2023,1400
431,Rumah minimalis/modern Jln KEADILAN DALAM.2 lantai nyaman dan aman,2,2,0,0,1,0,1,0,0,38,29,No,New,2023,650
432,Rumah minimalis/modern Industri II..2 lantai dekat perkotaan,2,2,0,0,1,1,1,0,0,41,21,No,New,2023,528
433,Dijual Cepat Rumah Bagus Sawah Besar Jakarta Pusat Harga Di Bawah Njop,5,1,1,1,1,0,0,1,1,1200,300,Semi,New,2021,9900
434,Rumah Bagus di Area Komersil Bendungan Hilir Jakarta Pusat,10,6,0,4,1,1,1,0,0,550,350,No,New,2018,20000
435,Rumah Mewah Hoek 3 Lantai Luas 349m2 Type 6+1kt di Kota Baru Cideng Gambir Jakarta Pusat,6,7,0,2,1,0,0,1,1,300,349,Semi,New,2019,24000
436,,2,2,1,0,1,1,1,0,0,185,210,Yes,New,2021,1200
437,,3,2,1,0,1,1,1,0,0,185,210,Yes,New,2021,1200
438,,4,3,2,1,1,1,1,1,1,320,400,No,Old,1998,4500
439,,2,1,0,1,1,0,1,0,0,140,120,No,New,2022,500
440,,5,4,2,2,1,1,1,1,1,480,600,Semi,Old,2006,7200
441,,3,2,1,0,1,1,1,0,0,210,180,No,New,2019,900
442,,6,5,2,1,1,1,1,1,1,550,700,Yes,Old,1995,8000
443,,4,3,2,1,1,1,1,0,0,320,400,Yes,New,2020,5000
444,,2,1,0,0,1,1,0,0,0,110,90,No,Old,2000,250
445,,3,2,1,1,1,1,1,0,0,190,200,Semi,New,2023,1500
446,,5,3,2,1,1,1,1,0,0,350,450,Yes,Old,1997,6000
447,,2,1,0,0,1,1,0,0,0,100,80,No,New,2024,300
448,,4,3,1,0,1,1,1,0,0,280,300,No,Old,1999,3500
449,,3,2,1,1,1,1,1,0,0,200,220,Semi,New,2022,1800
450,,6,4,2,1,1,1,1,1,1,500,650,Yes,Old,1996,7500
451,,2,1,0,0,0,0,1,0,0,80,100,No,New,2025,200
452,,4,2,1,1,1,1,1,0,0,240,260,Semi,New,2021,2200
453,,5,3,2,1,1,1,1,0,0,380,500,Yes,Old,1998,5500
454,,3,2,1,0,1,1,1,0,0,180,190,No,New,2023,1300
455,,4,3,2,1,1,1,1,1,1,320,400,Yes,Old,1994,4800
456,,2,1,0,1,1,1,0,0,0,130,110,No,New,2024,400
457,,6,4,2,2,1,1,1,1,1,520,680,Yes,Old,1997,7200
458,,3,2,1,0,1,1,1,0,0,200,220,Semi,New,2020,1600
459,,5,3,2,1,1,1,1,0,0,360,480,Yes,Old,1999,5000
460,,2,1,0,0,1,1,0,0,0,90,80,No,New,2022,250
461,,4,2,1,1,1,1,1,0,0,250,270,Semi,New,2023,2000
462,,3,3,1,0,1,1,1,0,0,220,200,Yes,Old,1995,3800
463,,6,4,2,1,1,1,1,1,1,530,690,Yes,Old,1996,7300
464,,4,2,1,1,1,1,1,0,0,240,260,Semi,New,2021,2200
465,,5,3,2,1,1,1,1,0,0,380,500,Yes,Old,1998,5500
466,,3,2,1,0,1,1,1,0,0,180,190,No,New,2023,1300
467,,4,3,2,1,1,1,1,1,1,320,400,Yes,Old,1994,4800
468,,2,1,0,1,1,1,0,0,0,130,110,No,New,2024,400
469,,6,4,2,2,1,1,1,1,1,520,680,Yes,Old,1997,7200
470,,3,2,1,0,1,1,1,0,0,200,220,Semi,New,2020,1600
471,,5,3,2,1,1,1,1,0,0,360,480,Yes,Old,1999,5000
472,,2,1,0,0,1,1,0,0,0,90,80,No,New,2022,250
473,,4,2,1,1,1,1,1,0,0,250,270,Semi,New,2023,2000
474,,3,3,1,0,1,1,1,0,0,220,200,Yes,Old,1995,3800
475,,6,4,2,1,1,1,1,1,1,530,690,Yes,Old,1996,7300
476,,4,2,1,1,1,1,1,0,0,240,260,Semi,New,2021,2200
477,,5,3,2,1,1,1,1,0,0,380,500,Yes,Old,1998,5500
478,,3,2,1,0,1,1,1,0,0,180,190,No,New,2023,1300
479,,4,3,2,1,1,1,1,1,1,320,400,Yes,Old,1994,4800
480,,2,1,0,1,1,1,0,0,0,130,110,No,New,2024,400
481,,6,4,2,2,1,1,1,1,1,520,680,Yes,Old,1997,7200
482,,3,2,1,0,1,1,1,0,0,200,220,Semi,New,2020,1600
483,,5,3,2,1,1,1,1,0,0,360,480,Yes,Old,1999,5000
484,,2,1,0,0,1,1,0,0,0,90,80,No,New,2022,250
485,,4,2,1,1,1,1,1,0,0,250,270,Semi,New,2023,2000
486,,3,3,1,0,1,1,1,0,0,220,200,Yes,Old,1995,3800
487,,6,4,2,1,1,1,1,1,1,530,690,Yes,Old,1996,7300
488,,4,2,1,1,1,1,1,0,0,240,260,Semi,New,2021,2200
489,,5,3,2,1,1,1,1,0,0,380,500,Yes,Old,1998,5500
490,,3,2,1,0,1,1,1,0,0,180,190,No,New,2023,1300
491,,4,3,2,1,1,1,1,1,1,320,400,Yes,Old,1994,4800
492,,2,1,0,1,1,1,0,0,0,130,110,No,New,2024,400
493,,6,4,2,2,1,1,1,1,1,520,680,Yes,Old,1997,7200
494,,3,2,1,0,1,1,1,0,0,200,220,Semi,New,2020,1600
495,,5,3,2,1,1,1,1,0,0,360,480,Yes,Old,1999,5000
496,,2,1,0,0,1,1,0,0,0,90,80,No,New,2022,250
497,,4,2,1,1,1,1,1,0,0,250,270,Semi,New,2023,2000
498,,3,3,1,0,1,1,1,0,0,220,200,Yes,Old,1995,3800
499,,6,4,2,1,1,1,1,1,1,530,690,Yes,Old,1996,7300
500,,4,2,1,1,1,1,1,0,0,240,260,Semi,New,2021,2200
501,,5,3,2,1,1,1,1,0,0,380,500,Yes,Old,1998,5500
502,,3,2,1,0,1,1,1,0,0,180,190,No,New,2023,1300
503,,4,3,2,1,1,1,1,1,1,320,400,Yes,Old,1994,4800
